,TIME,hours_worked,exchange_rates,gdp,young_population,old_age_dependency,m1,65age,gni,population_growth
2,1970,68.02609,360.0,3348.832992,24.0316609237661,11.7,3.643523,7.197698273,215145000000.0,1.151640472
3,1971,67.8151,350.677694,3647.705468,24.0997737983035,11.9,4.467495,7.319658406,243206000000.0,2.194253507
4,1972,67.32407,303.1725,4069.992935,24.1955825084809,12.1,5.464527,7.481323058,322536000000.0,1.400779181
5,1973,67.76276,271.701667,4532.01302,24.3287056386567,12.4,6.985854,7.669650062,438255000000.0,1.407188741
6,1974,66.85671,292.0825,4812.870739,24.4014334421604,12.7,7.918545,7.860290037,485490000000.0,1.329582019
7,1975,66.05473,296.7875,5355.131154,24.3274752984517,12.7,8.877714,8.065660691,528330000000.0,1.272707553
8,1976,66.08424,296.5525,5809.31007,24.3102578386121,13.4,10.07551,8.284509293,593864000000.0,1.07155981
9,1977,66.41894,268.51,6378.376732,24.2208181141331,13.8,10.77499,8.526135588,731215000000.0,0.968032726
10,1978,66.70863,210.441667,7121.897178,24.0573817171629,14.2,11.862,8.779879721,1028250000000.0,0.910030976
11,1979,67.0548,219.14,8068.34118,23.8198502001636,14.6,13.13205,9.041566804,1071220000000.0,0.846614503
12,1980,67.09999,226.740833,8973.783444,23.5127540487733,15.0,13.47103,9.298720308,1120600000000.0,0.788153476
13,1981,67.13415,220.535833,10168.273248,23.4150260385744,15.4,13.91792,9.548345663,1236720000000.0,0.728460836
14,1982,67.30173,249.076667,11073.018179,22.9613124115626,15.7,14.72499,9.802460226,1152070000000.0,0.693656149
15,1983,67.72694,237.511667,11843.838707,22.5191841788248,16.0,15.26411,10.03802894,1257620000000.0,0.695583303
16,1984,67.51933,237.5225,12730.496373,22.0427712896388,16.4,15.69659,10.26499537,1337560000000.0,0.648316737
17,1985,67.35564,238.535833,13725.849243,21.513812229457,16.8,16.49057,10.5413719,1432960000000.0,0.625935964
18,1986,67.23186,168.519833,14390.877358,20.9034185434818,17.2,17.63277,10.85517738,2122210000000.0,0.532357366
19,1987,67.12411,144.6375,15359.194724,20.2448842022595,17.7,19.48586,11.18385229,2576940000000.0,0.482035497
20,1988,67.46243,128.151667,16890.327305,19.5343582223309,18.2,21.12208,11.54111566,3127320000000.0,0.416110342
21,1989,68.10777,137.964417,18348.322287,18.8228489103527,18.8,21.98771,11.94187205,3131620000000.0,0.399761165
22,1990,68.8105,144.7925,19891.091581,18.240064831683,19.3,22.54712,12.39966059,3220340000000.0,0.331782885
23,1991,69.46976,134.706667,21204.240996,17.6585982385315,20.0,23.71638,12.89817641,3670750000000.0,0.392819832
24,1992,69.75673,126.651333,21800.918468,17.166519222587,20.7,24.7948,13.41227826,4005690000000.0,0.371192387
25,1993,69.56595,111.197786,22149.219699,16.7040227953065,21.4,25.51018,13.92312708,4591570000000.0,0.324167599
26,1994,69.33826,102.207806,22834.751706,16.3277890871353,22.2,26.91665,14.44034857,5040360000000.0,0.279192364
27,1995,69.24825,94.059579,23865.913636,15.955184956793,23.0,29.11399,14.96316008,5592680000000.0,0.234590173
28,1996,69.56193,108.779057,25009.682085,15.6405612407043,23.8,33.10724,15.50878372,4982760000000.0,0.226884732
29,1997,70.06789,120.990863,25629.420659,15.3500523120334,24.7,35.99373,16.08128312,4551410000000.0,0.238271218
30,1998,69.57001,130.905301,25520.196541,15.0681901554322,25.7,39.07076,16.65705421,4148980000000.0,0.27172961
31,1999,69.02783,113.906805,25744.916581,14.7941690478822,26.6,43.18238,17.22375461,4692900000000.0,0.182586374
32,2000,68.99153,107.765498,27289.851934,14.580412910868,27.3,46.71507,17.80488845,5040240000000.0,0.167275578
33,2001,68.85491,121.528948,27946.083138,14.3631521474417,28.5,50.69358,18.41939672,4442720000000.0,0.240952588
34,2002,68.31975,125.388019,28633.69892,14.2048887668223,29.5,64.63502,19.02458993,4243890000000.0,0.232527187
35,2003,68.46236,115.933464,29411.592882,14.0300425485233,30.4,69.84149,19.56877502,4592590000000.0,0.213980949
36,2004,68.81226,108.192569,30837.175423,13.8886495884468,31.4,72.74577,20.06106878,4987570000000.0,0.033662258
37,2005,69.36957,110.218212,32174.400107,13.7632402681379,32.4,76.13275,20.60441215,4938600000000.0,0.009392097
38,2006,70.03201,116.299312,33638.841255,13.6454047898087,33.6,78.38445,21.25729113,4724630000000.0,0.063373589
39,2007,70.77606,117.753529,35021.732224,13.5338918732687,34.8,78.32439,21.9407321,4720090000000.0,0.114908848
40,2008,70.8734,103.359494,35278.749846,13.4510691268446,36.1,77.92685,22.58175633,5243860000000.0,0.048425395
41,2009,70.17559,93.570089,33550.689549,13.3406811076217,37.4,78.32919,23.16588998,5422440000000.0,-0.012494631
42,2010,70.28754,87.779875,35342.824721,13.1497096707107,38.9,79.87497,23.60053533,5912480000000.0,0.017960542
43,2011,70.82615,79.80702,36215.006272,13.0715299085809,40.5,83.66695,23.97777973,6414400000000.0,-0.185226486
44,2012,70.61858,79.790455,37628.675989,12.9766425351578,42.2,86.71026,24.64745219,6445540000000.0,-0.159710676
45,2013,71.7585,97.595658,39436.682585,12.8756937391315,44.0,90.87823,25.5814883,5391610000000.0,-0.144271883
46,2014,72.7607,105.944781,39559.763471,12.7740207950272,45.7,95.14546,26.52698471,5079020000000.0,-0.132694222
47,2015,73.3971,121.044026,40908.781547,12.5459302034872,46.2,100.0,27.32820041,4619770000000.0,-0.106124994
49,2017,75.50069,112.166141,41531.221619,12.3236307796971,49.9,115.4715,28.46399366,5113250000000.0,-0.081874296
51,2019,78.11421,109.009666,42427.125075,12.0572799141256,51.9,129.067,29.27981368,5318490000000.0,-0.140464978
52,2020,77.72765,106.774582,41867.153393,11.9160260358111,52.0,143.1236,29.58317845,5232130000000.0,-0.294194618
53,2021,77.88137,109.754324,42895.146536,11.7800870406428,53.4,157.1921,29.78708991,5248520000000.0,-0.459952416
54,2022,78.45472,131.49814,45648.781715,11.6070505821482,54.0,166.0137,29.92456126,4499840000000.0,-0.443851919
